Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99913,99837,99770,99709,99655,99606,99562,99522,99485,99451,99419,99390,99363,99337,99313,99290,99268,99246,99226,99207,99188,99169,99153,99142,99135,99132,99133,99136,99140,99146,99152,99159,99165,99171,99177,99181,99183,99180,99168,99132,99029,98662,98692,98721,98750,98778,98805,98832,98858,98883,98908
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99903,99819,99745,99680,99621,99569,99523,99480,99442,99407,99375,99345,99317,99291,99267,99245,99223,99203,99183,99164,99146,99129,99112,99097,99087,99081,99079,99081,99085,99091,99098,99105,99113,99120,99128,99134,99139,99142,99140,99129,99094,98992,98625,98656,98686,98716,98744,98773,98800,98827,98853,98879
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99890,99796,99714,99643,99580,99524,99474,99429,99389,99353,99320,99290,99262,99236,99212,99190,99169,99149,99130,99113,99095,99079,99063,99047,99034,99025,99021,99021,99024,99029,99036,99044,99053,99062,99070,99079,99086,99093,99097,99096,99085,99052,98950,98585,98617,98648,98678,98707,98736,98765,98792,98819,98846
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99879,99772,99681,99602,99533,99473,99419,99372,99330,99292,99258,99227,99199,99173,99149,99127,99107,99088,99070,99053,99037,99022,99007,98992,98979,98967,98959,98957,98958,98963,98969,98978,98987,98997,99007,99017,99026,99035,99043,99048,99048,99039,99006,98906,98542,98574,98606,98637,98668,98698,98727,98755,98783,98811
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99868,99751,99647,99558,99482,99416,99358,99308,99263,99223,99188,99156,99128,99102,99078,99057,99037,99019,99002,98986,98971,98957,98943,98930,98917,98905,98895,98889,98888,98891,98897,98906,98915,98926,98937,98949,98960,98971,98981,98990,98996,98997,98989,98958,98859,98496,98529,98562,98594,98626,98657,98687,98716,98745,98773
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99851,99723,99609,99508,99423,99350,99287,99232,99185,99143,99106,99073,99044,99018,98995,98974,98955,98937,98921,98907,98893,98880,98868,98856,98845,98834,98824,98816,98812,98813,98817,98825,98835,98846,98859,98871,98884,98897,98909,98921,98931,98938,98941,98934,98904,98806,98445,98479,98514,98547,98579,98611,98642,98673,98702,98732
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99832,99687,99563,99453,99356,99274,99205,99145,99094,99049,99010,98976,98947,98921,98897,98877,98859,98842,98827,98814,98801,98790,98780,98770,98760,98751,98743,98735,98729,98727,98729,98736,98745,98757,98770,98784,98798,98813,98827,98841,98854,98866,98875,98879,98874,98845,98748,98388,98424,98460,98494,98528,98561,98593,98625,98655,98685
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99818,99655,99514,99394,99288,99195,99117,99051,98995,98947,98906,98870,98840,98813,98790,98770,98752,98737,98723,98711,98700,98691,98682,98674,98666,98659,98653,98646,98640,98636,98636,98641,98650,98661,98675,98690,98705,98722,98738,98754,98770,98784,98797,98808,98814,98810,98782,98687,98329,98366,98403,98439,98474,98508,98541,98574,98606,98637
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99805,99628,99469,99333,99217,99115,99026,98952,98890,98838,98794,98756,98724,98697,98673,98654,98637,98622,98610,98599,98590,98582,98574,98568,98563,98558,98553,98549,98545,98542,98540,98542,98549,98560,98573,98589,98606,98623,98641,98660,98677,98695,98711,98726,98738,98745,98743,98717,98624,98267,98306,98344,98381,98417,98452,98487,98521,98554,98587
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99795,99604,99432,99278,99147,99036,98938,98853,98784,98726,98677,98637,98603,98574,98551,98531,98514,98500,98489,98480,98472,98466,98460,98456,98453,98450,98448,98446,98444,98442,98441,98442,98446,98455,98468,98484,98501,98520,98540,98560,98580,98600,98619,98637,98653,98667,98676,98675,98651,98559,98204,98244,98284,98322,98360,98396,98432,98467,98502,98535
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99768,99569,99384,99218,99069,98942,98836,98743,98663,98598,98544,98500,98464,98434,98409,98389,98373,98360,98350,98342,98336,98332,98329,98327,98325,98325,98325,98326,98326,98328,98329,98330,98333,98340,98352,98367,98385,98405,98426,98448,98470,98492,98513,98534,98554,98573,98588,98599,98600,98578,98488,98134,98176,98217,98257,98296,98334,98372,98408,98444,98479
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99744,99518,99325,99146,98986,98842,98722,98620,98533,98458,98397,98348,98309,98277,98251,98231,98215,98203,98194,98188,98183,98181,98180,98181,98182,98184,98187,98190,98194,98198,98202,98206,98210,98216,98225,98239,98257,98278,98300,98323,98348,98372,98396,98420,98443,98465,98486,98503,98516,98519,98498,98410,98059,98102,98145,98186,98227,98267,98306,98344,98381,98417
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99711,99462,99244,99058,98886,98731,98594,98479,98384,98302,98232,98177,98133,98098,98071,98050,98035,98024,98016,98011,98009,98009,98010,98013,98018,98023,98028,98035,98041,98048,98056,98063,98070,98077,98086,98099,98116,98136,98159,98184,98210,98237,98264,98291,98317,98342,98367,98389,98409,98424,98429,98410,98324,97975,98021,98065,98108,98151,98192,98233,98272,98311,98349
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99664,99384,99143,98933,98754,98589,98442,98312,98203,98114,98038,97975,97926,97888,97859,97837,97821,97811,97805,97802,97802,97805,97809,97815,97822,97831,97840,97850,97860,97871,97882,97893,97904,97914,97925,97937,97953,97973,97997,98023,98051,98080,98110,98140,98169,98198,98226,98253,98278,98301,98318,98325,98309,98225,97879,97926,97973,98018,98063,98106,98148,98190,98231,98270
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99608,99282,99012,98780,98578,98408,98251,98112,97990,97889,97807,97738,97682,97639,97607,97585,97569,97560,97555,97554,97557,97563,97570,97580,97591,97603,97617,97631,97645,97660,97675,97690,97705,97720,97735,97750,97766,97786,97810,97837,97867,97898,97930,97963,97996,98029,98061,98092,98122,98150,98175,98195,98205,98192,98111,97767,97817,97866,97913,97960,98006,98050,98094,98137,98178
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99570,99190,98874,98614,98392,98199,98038,97890,97759,97645,97552,97478,97417,97368,97332,97307,97291,97282,97279,97281,97286,97295,97306,97320,97335,97351,97369,97387,97406,97426,97445,97465,97485,97505,97524,97543,97562,97582,97606,97634,97665,97698,97734,97770,97806,97842,97878,97913,97948,97981,98012,98040,98063,98076,98065,97987,97647,97699,97751,97801,97850,97898,97945,97991,98036,98080
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99526,99108,98740,98436,98186,97974,97792,97640,97502,97380,97274,97190,97124,97071,97029,97002,96984,96975,96973,96977,96985,96997,97012,97030,97049,97070,97093,97116,97140,97164,97189,97214,97239,97263,97288,97312,97336,97359,97384,97412,97444,97479,97517,97556,97596,97636,97676,97715,97754,97792,97828,97863,97894,97920,97936,97929,97854,97517,97572,97626,97679,97731,97782,97831,97880,97927,97973
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99486,99026,98621,98265,97973,97735,97534,97362,97221,97092,96980,96883,96808,96751,96706,96673,96653,96643,96642,96647,96658,96673,96692,96714,96738,96764,96791,96820,96849,96879,96909,96939,96969,97000,97029,97059,97088,97117,97145,97174,97207,97244,97283,97325,97368,97412,97456,97500,97544,97586,97628,97668,97706,97740,97770,97789,97785,97713,97380,97438,97495,97551,97606,97659,97711,97762,97812,97861
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99475,98976,98529,98138,97794,97514,97287,97097,96936,96805,96686,96583,96496,96430,96382,96345,96320,96308,96306,96312,96325,96343,96365,96391,96420,96450,96482,96516,96551,96586,96621,96657,96693,96729,96764,96800,96834,96868,96902,96935,96969,97006,97047,97091,97137,97184,97232,97281,97328,97375,97422,97467,97510,97552,97590,97623,97645,97645,97576,97246,97308,97367,97426,97483,97539,97594,97648,97700,97751
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99450,98941,98456,98023,97646,97315,97047,96832,96653,96502,96381,96273,96180,96102,96045,96006,95978,95961,95957,95964,95977,95998,96023,96053,96085,96120,96158,96197,96237,96277,96319,96360,96402,96443,96485,96526,96566,96606,96645,96684,96722,96761,96802,96848,96896,96947,96998,97050,97102,97154,97205,97255,97304,97351,97396,97438,97474,97500,97503,97437,97111,97175,97238,97300,97360,97418,97476,97532,97587,97641
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99409,98876,98383,97913,97495,97131,96814,96559,96356,96188,96049,95939,95841,95758,95691,95643,95613,95594,95586,95591,95606,95628,95656,95689,95726,95766,95808,95852,95898,95945,95992,96040,96088,96135,96183,96230,96277,96323,96368,96413,96456,96499,96543,96590,96640,96693,96748,96804,96860,96917,96973,97028,97082,97134,97185,97234,97279,97319,97349,97354,97293,96970,97038,97104,97168,97231,97292,97353,97412,97469,97526
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99370,98798,98282,97805,97351,96948,96599,96296,96053,95863,95708,95580,95481,95394,95322,95265,95227,95207,95197,95199,95212,95235,95266,95302,95343,95388,95436,95485,95537,95590,95643,95697,95752,95806,95860,95914,95967,96019,96071,96122,96172,96222,96270,96319,96371,96426,96483,96543,96604,96665,96725,96785,96845,96903,96960,97014,97067,97116,97159,97193,97202,97144,96825,96896,96965,97032,97098,97163,97226,97288,97348,97407
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99318,98708,98154,97656,97197,96760,96373,96039,95750,95522,95345,95202,95087,95000,94924,94863,94817,94790,94779,94780,94791,94814,94846,94885,94930,94979,95032,95088,95146,95205,95265,95326,95387,95448,95509,95570,95630,95690,95749,95807,95864,95920,95974,96028,96083,96140,96200,96263,96327,96393,96459,96524,96589,96652,96715,96776,96835,96891,96944,96992,97028,97042,96987,96673,96747,96819,96890,96959,97027,97093,97158,97221,97283
