Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99930,99868,99813,99763,99718,99677,99639,99603,99570,99539,99510,99481,99454,99428,99403,99379,99355,99331,99308,99285,99263,99241,99218,99198,99179,99164,99152,99142,99133,99126,99119,99113,99108,99102,99096,99090,99083,99075,99063,99046,99012,98933,98676,98680,98683,98686,98690,98693,98696,98700,98703,98706
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99916,99846,99785,99730,99681,99636,99595,99557,99522,99490,99459,99430,99402,99375,99350,99325,99301,99277,99254,99231,99209,99187,99165,99143,99123,99105,99091,99079,99069,99061,99054,99048,99042,99037,99032,99026,99021,99014,99006,98995,98978,98945,98866,98610,98614,98618,98622,98625,98629,98633,98637,98641,98644
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99914,99830,99761,99700,99646,99597,99552,99512,99475,99440,99408,99377,99348,99321,99295,99270,99245,99221,99198,99176,99153,99132,99110,99088,99067,99047,99030,99016,99004,98995,98987,98981,98975,98970,98965,98960,98956,98950,98944,98937,98926,98910,98877,98799,98543,98548,98552,98556,98561,98565,98569,98573,98578,98582
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99903,99817,99734,99665,99605,99551,99503,99459,99419,99382,99348,99316,99286,99257,99231,99205,99180,99156,99133,99110,99088,99067,99045,99024,99003,98982,98963,98946,98933,98922,98913,98906,98900,98895,98890,98886,98882,98877,98873,98867,98860,98851,98834,98802,98725,98470,98475,98480,98485,98489,98494,98499,98504,98509,98513
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99894,99797,99712,99629,99561,99501,99448,99400,99357,99317,99281,99247,99216,99186,99159,99132,99107,99083,99060,99037,99015,98993,98972,98952,98931,98911,98891,98872,98856,98843,98832,98824,98818,98813,98808,98804,98801,98797,98793,98789,98785,98778,98769,98753,98722,98646,98391,98397,98402,98408,98413,98419,98424,98430,98435,98441
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99882,99777,99681,99596,99514,99447,99387,99335,99287,99245,99206,99170,99137,99106,99077,99050,99025,99000,98977,98954,98932,98911,98890,98870,98850,98830,98810,98791,98773,98757,98745,98736,98728,98723,98718,98714,98711,98708,98705,98702,98699,98695,98690,98681,98666,98636,98560,98307,98313,98320,98326,98332,98338,98344,98351,98357,98363
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99869,99752,99647,99552,99469,99387,99321,99262,99210,99163,99121,99083,99048,99016,98986,98958,98931,98906,98883,98860,98838,98817,98797,98777,98757,98738,98719,98700,98682,98664,98650,98639,98630,98624,98619,98615,98612,98610,98608,98606,98604,98602,98599,98594,98586,98572,98543,98468,98216,98223,98230,98237,98244,98252,98259,98266,98273,98280
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99844,99714,99598,99494,99400,99317,99237,99171,99113,99062,99016,98975,98938,98904,98872,98843,98816,98791,98767,98744,98723,98702,98682,98663,98644,98626,98608,98590,98572,98555,98539,98526,98515,98508,98503,98499,98496,98495,98494,98493,98492,98491,98490,98488,98485,98478,98466,98437,98364,98113,98121,98130,98138,98146,98154,98163,98171,98179,98187
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99822,99667,99539,99424,99321,99228,99146,99067,99002,98945,98895,98851,98811,98774,98742,98711,98684,98658,98634,98611,98590,98570,98550,98532,98514,98497,98480,98463,98447,98431,98415,98400,98388,98380,98374,98370,98368,98367,98366,98367,98367,98368,98369,98369,98369,98367,98362,98350,98323,98251,98002,98012,98022,98031,98041,98050,98060,98069,98079,98088
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99812,99635,99482,99354,99241,99139,99047,98967,98889,98825,98769,98720,98677,98638,98603,98572,98543,98517,98492,98470,98449,98429,98410,98392,98375,98359,98343,98327,98312,98298,98283,98269,98256,98246,98239,98234,98232,98232,98232,98233,98235,98238,98240,98242,98244,98245,98245,98241,98231,98206,98135,97888,97899,97910,97921,97932,97943,97954,97965,97976,97987
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99796,99609,99434,99282,99156,99044,98944,98853,98774,98697,98634,98580,98532,98491,98453,98420,98390,98363,98338,98315,98295,98275,98257,98240,98224,98209,98194,98180,98166,98153,98140,98128,98115,98104,98096,98090,98088,98087,98088,98091,98094,98098,98102,98106,98110,98113,98116,98117,98115,98107,98084,98015,97770,97782,97795,97808,97820,97833,97845,97858,97870,97882
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99778,99576,99391,99218,99067,98943,98832,98733,98644,98566,98491,98430,98377,98331,98291,98255,98224,98196,98170,98148,98127,98108,98090,98074,98059,98045,98032,98019,98007,97996,97985,97974,97963,97953,97944,97937,97934,97934,97935,97938,97943,97948,97953,97959,97965,97971,97977,97981,97985,97985,97978,97957,97890,97647,97661,97676,97690,97704,97718,97733,97747,97761,97774
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99774,99554,99354,99170,98999,98850,98727,98618,98521,98433,98357,98283,98224,98173,98128,98090,98056,98026,98000,97977,97956,97937,97920,97905,97890,97877,97865,97854,97844,97834,97824,97815,97806,97798,97789,97782,97778,97777,97778,97782,97787,97794,97801,97808,97816,97824,97832,97839,97846,97851,97853,97849,97829,97764,97523,97539,97555,97571,97587,97603,97619,97635,97651,97666
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99765,99542,99324,99125,98944,98774,98627,98506,98398,98302,98216,98142,98070,98012,97963,97921,97884,97852,97824,97800,97779,97760,97743,97728,97715,97703,97692,97682,97673,97664,97656,97649,97642,97635,97629,97623,97618,97616,97617,97620,97626,97633,97642,97651,97661,97671,97681,97690,97700,97708,97715,97719,97717,97699,97636,97397,97415,97433,97451,97469,97487,97504,97522,97539,97556
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99734,99502,99280,99065,98868,98689,98521,98376,98257,98151,98057,97973,97901,97831,97776,97729,97689,97655,97625,97600,97578,97559,97543,97528,97516,97505,97496,97488,97480,97474,97468,97463,97458,97454,97450,97446,97442,97440,97441,97444,97450,97458,97468,97479,97491,97503,97515,97527,97540,97551,97562,97572,97578,97578,97562,97501,97265,97285,97305,97325,97345,97365,97384,97404,97423,97442
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99707,99444,99214,98995,98782,98588,98411,98245,98102,97985,97882,97790,97709,97639,97572,97519,97475,97438,97407,97380,97358,97339,97323,97309,97298,97289,97281,97275,97270,97265,97262,97259,97257,97256,97254,97253,97252,97252,97252,97256,97262,97271,97282,97295,97308,97323,97338,97353,97368,97382,97397,97410,97422,97431,97433,97420,97361,97128,97150,97173,97195,97217,97239,97261,97282,97303,97324
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99692,99401,99141,98914,98698,98487,98296,98121,97958,97818,97703,97602,97514,97435,97368,97304,97254,97213,97178,97150,97127,97107,97092,97079,97069,97061,97055,97050,97047,97045,97044,97044,97045,97046,97047,97049,97051,97054,97056,97060,97066,97076,97088,97102,97117,97134,97151,97168,97186,97204,97222,97239,97255,97269,97280,97285,97275,97219,96988,97013,97038,97062,97087,97111,97135,97158,97182,97205
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99670,99365,99078,98821,98597,98383,98176,97987,97815,97655,97517,97405,97308,97222,97146,97082,97021,96975,96937,96906,96881,96861,96845,96833,96824,96817,96813,96810,96809,96810,96811,96814,96817,96821,96826,96831,96836,96842,96847,96853,96860,96870,96883,96898,96915,96934,96953,96973,96994,97015,97036,97056,97076,97095,97112,97126,97134,97126,97073,96845,96872,96900,96927,96953,96980,97006,97032,97058,97083
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99662,99336,99034,98750,98496,98275,98064,97860,97674,97505,97348,97213,97104,97009,96927,96854,96794,96736,96693,96658,96631,96610,96593,96581,96572,96566,96563,96562,96563,96566,96570,96575,96581,96588,96595,96603,96612,96621,96630,96639,96648,96658,96671,96687,96706,96726,96748,96771,96794,96818,96841,96865,96888,96911,96933,96953,96970,96980,96975,96925,96700,96730,96760,96789,96818,96847,96876,96904,96932,96960
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99653,99319,98996,98698,98417,98167,97949,97741,97540,97357,97191,97037,96905,96799,96708,96629,96559,96502,96448,96408,96377,96353,96335,96322,96314,96308,96306,96307,96309,96314,96320,96328,96336,96346,96356,96367,96379,96391,96403,96415,96428,96440,96454,96471,96490,96511,96535,96560,96586,96612,96639,96666,96693,96719,96745,96769,96792,96812,96825,96823,96775,96554,96586,96619,96651,96682,96714,96745,96775,96806,96836
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99648,99305,98974,98655,98360,98084,97836,97621,97417,97218,97039,96876,96725,96597,96495,96406,96330,96265,96211,96160,96124,96096,96076,96061,96052,96047,96045,96046,96050,96056,96064,96074,96085,96097,96110,96124,96139,96154,96169,96185,96201,96217,96233,96250,96269,96292,96317,96343,96372,96401,96430,96460,96490,96520,96549,96578,96605,96631,96654,96669,96670,96625,96407,96442,96477,96511,96546,96579,96613,96646,96679,96711
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99635,99287,98948,98621,98306,98015,97742,97498,97286,97085,96890,96714,96555,96407,96282,96184,96099,96026,95964,95914,95867,95834,95810,95793,95782,95776,95775,95777,95782,95789,95799,95811,95824,95839,95855,95871,95889,95907,95925,95944,95963,95983,96002,96022,96042,96065,96091,96119,96149,96181,96213,96246,96279,96312,96344,96377,96408,96439,96468,96493,96512,96515,96473,96258,96296,96333,96370,96407,96443,96479,96515,96550,96585
